id_member,Afriat,HM,Swaps,Varian,InvVarian,NMCI,Varian0.5,InvVarian0.5,NMCI0.5,Afriat_FOSD,HM_FOSD,Swaps_FOSD,Varian_FOSD,InvVarian_FOSD,NMCI_FOSD,Varian0.5_FOSD,InvVarian0.5_FOSD,NMCI0.5_FOSD
12322001,0.275704697986577,0.12,0.24,0.0218134736659703,0.0238338107920912,0.0438714984065706,0.0421134823735392,0.0523815531384505,0.0923901054085895,0.275704697986577,0.52,1.16,0.0279786621773598,0.0380437526558701,0.0913120705168141,0.0824759231978581,0.0947582267581375,0.258938778853161
12327001,0.264526513636727,0.28,0.68,0.0280939344186334,0.0374738688151945,0.0605702291021416,0.0763257786644564,0.0920712599940467,0.181920200716995,0.542227378190255,0.44,1.84,0.0739202654732385,0.0761365444264048,0.196737299235223,0.151469910267732,0.155037169115194,0.535121968369832
12329501,0.00822228522823932,0.04,0.04,0.000328891409129573,0.000328891409129573,0.000328891409129573,0.00362707269918634,0.00362707269918634,0.00362707269918634,0.658105853300407,0.28,2.04,0.0999249931124101,0.112622527267121,0.364687689781272,0.153216247150253,0.165345503757663,0.782826918806484
12329502,0.0646029609690444,0.04,0.04,0.00258411843876178,0.00258411843876178,0.00258411843876178,0.0101668450145791,0.0101668450145791,0.0101668450145791,0.0646029609690444,0.36,0.44,0.00728858741390137,0.00603715676502636,0.00761997667664998,0.0442884935852149,0.0372133804444235,0.0479293136178373
12341501,0.158007563479201,0.24,0.64,0.0131943697772554,0.0164657340426233,0.0233818826221894,0.0586153588910778,0.056065912411131,0.106971912990933,0.438364253727671,0.4,1.32,0.0455768031706511,0.0491251710961351,0.113825238136465,0.128840268474264,0.120062443669772,0.32182051279326
12346001,0.387838061140182,0.12,0.4,0.0258963943972256,0.0210645249721678,0.0580185424019344,0.0483427950739037,0.0416268462705908,0.136152943174199,0.558879616650911,0.56,3.12,0.135768945474929,0.137992569873039,0.497592747777455,0.244203573430146,0.246957845158715,1.13402063389603
12348501,0.0547629400148558,0.04,0.04,0.00219051760059423,0.00219051760059423,0.00219051760059423,0.00936059314486904,0.00936059314486904,0.00936059314486904,0.0561276451284372,0.16,0.16,0.00518363567973532,0.00518363567973532,0.00518363567973532,0.0265262287005684,0.0265262287005684,0.0265262287005684
12384501,0.0496059161233824,0.08,0.24,0.00282886657710412,0.00295160839711142,0.00512911857456976,0.0152388103533814,0.0113174905479831,0.0297297571244166,0.716444745700401,0.36,1.68,0.0610058057558912,0.0613152645913722,0.142309693226456,0.131340528068724,0.132025757779729,0.40117229163204
12384502,0.04688221886248,0.08,0.08,0.00191055486670421,0.00191055486670421,0.00191055486670421,0.00984862641831184,0.00984862641831184,0.00984862641831184,0.04688221886248,0.44,0.68,0.00573283356686352,0.00375405559747211,0.0066543605849387,0.0403006207260346,0.0351049884740245,0.0565699806610305
12387501,0.241771206103268,0.24,0.64,0.0372559861671192,0.0314038627927008,0.0537128823187835,0.0961132984059988,0.0844170867763877,0.1655320535389,0.341780376868096,0.56,1.68,0.0649941432602986,0.0588646054353252,0.138126411835933,0.162811567285463,0.157001189682596,0.424865199953373
